unit_id,latitude,longitude,timestamp,distance_by_interval,dist_diff,cluster_number,flag,rank,alert_info
1410765,18.52883075130746,73.77845791462286,2017-03-25T01:01:00.000Z,1.137122874026013,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.57038913416455,73.76547410706044,2017-03-25T01:01:00.000Z,0.0,1.137122874026013,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.52439605422732,73.77165117026729,2017-03-25T01:02:00.000Z,2.007861942583508,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.5584693101264,73.76979421248477,2017-03-25T01:02:00.000Z,1.401469920048597,0.6063920225349111,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.51545733211527,73.76918401191753,2017-03-25T01:03:00.000Z,3.035278449291195,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.54867115059572,73.7733660343966,2017-03-25T01:03:00.000Z,2.554203432854195,0.4810750164369999,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.50901613514176,73.77583605753775,2017-03-25T01:04:00.000Z,4.037747924165604,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.54106742127394,73.77922281392544,2017-03-25T01:04:00.000Z,3.601142461255272,0.4366054629103315,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.50737403671389,73.78362599830022,2017-03-25T01:05:00.000Z,4.879198374778403,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.53355250048542,73.78026788982649,2017-03-25T01:05:00.000Z,4.443995794174349,0.435202580604054,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.50363433802629,73.79273603493772,2017-03-25T01:06:00.000Z,5.925952098565363,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410947,18.52497245025608,73.77211240168195,2017-03-25T01:06:00.000Z,5.728343963472277,0.1976081350930858,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.45778736245023,73.79235788247354,2017-03-25T01:06:00.000Z,0.0,5.728343963472277,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.51446897908384,73.76949570122135,2017-03-25T01:07:00.000Z,6.928421233157984,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410765,18.49592060071492,73.78798792967892,2017-03-25T01:07:00.000Z,6.919119313969252,0.009301919188732022,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410765,18.48815415124189,73.79469956296015,2017-03-25T01:08:00.000Z,8.035685766226116,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410947,18.50881731861892,73.77665767970996,2017-03-25T01:08:00.000Z,7.910874431871034,0.1248113343550825,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.50737747446357,73.78975951667785,2017-03-25T01:09:00.000Z,9.301628075649194,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.48698417043599,73.79646943108428,2017-03-25T01:09:00.000Z,8.263196034343345,1.03843204130585,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.45754270926505,73.79192759080593,2017-03-25T01:09:00.000Z,0.05291373170413869,8.210282302639206,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.50171263595823,73.79210406195588,2017-03-25T01:10:00.000Z,9.978307322445914,nan.0,0,nan.0,1,"[ ""cluster 1 is left behind of your cluster 0"" ]"
1410765,18.48698073268632,73.79646771220942,2017-03-25T01:10:00.000Z,8.263616307425973,1.714691015019941,1,0.0,2,"[ ""cluster 0 is move ahead of your cluster 1"" ]"
1410947,18.49404244347608,73.78815752532952,2017-03-25T01:11:00.000Z,10.9273103245027,nan.0,1,nan.0,1,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410765,18.48697901381148,73.79646771220942,2017-03-25T01:11:00.000Z,8.263806178021905,2.66350414648079,1,0.0,2,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410591,18.45754270926505,73.79192071530659,2017-03-25T01:11:00.000Z,0.05363975160807621,8.21016642641383,2,1.0,3,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410670,18.60635945492569,73.76050770469732,2017-03-25T01:11:00.000Z,0.0,0.05363975160807621,2,0.0,4,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410671,18.55675444599709,73.71481084419037,2017-03-25T01:11:00.000Z,0.0,0.0,2,0.0,4,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410947,18.4871675170853,73.79615430403076,2017-03-25T01:12:00.000Z,12.06552994658395,nan.0,1,nan.0,1,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410765,18.48659398584793,73.79693753799828,2017-03-25T01:12:00.000Z,8.329287597052534,3.736242349531416,1,0.0,2,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410591,18.45756906534589,73.7918874837264,2017-03-25T01:12:00.000Z,0.05820863663074812,8.271078960421786,2,1.0,3,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410670,18.60636289267537,73.76055067656823,2017-03-25T01:12:00.000Z,0.004544154262944258,0.05366448236780386,2,0.0,4,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410947,18.48763275920792,73.79557275137748,2017-03-25T01:13:00.000Z,12.14576367234364,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.48660258022212,73.79696446703738,2017-03-25T01:13:00.000Z,8.332283646140361,3.813480026203282,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.4578509608192,73.7913557784434,2017-03-25T01:13:00.000Z,0.1224555134578678,8.209828132682492,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.48763104033308,73.79556931362782,2017-03-25T01:14:00.000Z,12.14617080159194,nan.0,1,nan.0,1,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410765,18.48445914330005,73.80001776170666,2017-03-25T01:14:00.000Z,8.73288989876184,3.413280902830101,1,0.0,2,"[ ""unit_id 1410591 is left behind of your cluster 1"" ]"
1410591,18.4601141460216,73.79036284174575,2017-03-25T01:14:00.000Z,0.3950325780322251,8.337857320729615,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410765,18.47688921851674,73.80749429429048,2017-03-25T01:15:00.000Z,9.886242634224109,nan.0,0,nan.0,2,"[ ""unit_id 1410591 is left behind of your cluster 0"" ]"
1410591,18.46020410047142,73.79074099420994,2017-03-25T01:15:00.000Z,0.4361526578105394,9.450089976413569,"outlier",1.0,3,"[ ""You are outside the cluster"" ]"
1410947,18.48765739641392,73.79563577678819,2017-03-25T01:16:00.000Z,12.15376779192482,nan.0,1,nan.0,1,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410765,18.47099748853288,73.81279243949719,2017-03-25T01:16:00.000Z,10.74729867873099,1.406469113193832,1,0.0,2,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410591,18.46020753822109,73.7907392753351,2017-03-25T01:16:00.000Z,0.4365729429410924,10.3107257357899,2,1.0,3,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410656,18.49770078208805,73.85017452945802,2017-03-25T01:16:00.000Z,0.0,0.4365729429410924,2,0.0,5,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410947,18.48765739641392,73.79563291199679,2017-03-25T01:17:00.000Z,12.15406640714267,nan.0,1,nan.0,1,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410765,18.46625396694031,73.81706957305059,2017-03-25T01:17:00.000Z,11.44134588535864,0.7127205217840231,1,0.0,2,"[ ""cluster 2 is left behind of your cluster 1"" ]"
1410591,18.46021441372044,73.79073755646027,2017-03-25T01:17:00.000Z,0.4373592395888086,11.00398664576984,2,1.0,3,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1412129,18.49815399208681,73.85013442237849,2017-03-25T01:17:00.000Z,0.0,0.4373592395888086,2,0.0,5,"[ ""cluster 1 is move ahead of your cluster 2"" ]"
1410765,18.46109275876228,73.82212936761323,2017-03-25T01:18:00.000Z,12.22502744172783,nan.0,"outlier",nan.0,1,"[ ""You are outside the cluster"" ]"
