mode_of_operation,ignition_status,msg_type,msg_num,current_gsm_2_3_nb,current_gsm_4_5_nb,unit_io_status_byte_4,unit_io_status_byte_3,unit_io_status_byte_2,unit_io_status_byte_1,unit_id,unit_status_current_gsm_1nb,raw_packet,utc_time_hour,utc_time_min,utc_time_sec,vehicle_movement_status,unit_hw_ver,unit_sw_ver,ground_speed,gps_validity,altitude,trans_reason_data,analog_ip_1,analog_ip_2,analog_ip_3,analog_ip_4,header_1,header_2,header_3,header_4,multipurpose_field,location_status,packettimestamp,receivedtimestamp,latitude,longitude,error_detection_code,imei,gps_date_year,mileage_counter,utc_date_month,utc_date_day,trans_reason,num_staellites,protocol_ver_id,date_part,gps_mode_1,gps_mode_2,comm_ctrl
1,1,0,26,157,235,32,12,243,35,1410947,0,4d4347500083871500080d1a6b2b04009d00450123f30c20eb68f3ff9bcb23005a0d6ff0214787c3a0000003b22bab07a9f6ef0170e90000970300005a0e0105001903e10779,0,5,1,1,107,43,919,0,59760,0,12.2352941176,4.0023529399,255,155,77,67,71,80,,160,2017-03-25T00:05:31.236Z,2017-03-25T00:05:31.236Z,18.6231293708,73.7158690981,121,,2017,9163,3,25,69,3,4,2017-03-25,0,0,3336
0,1,0,27,157,235,32,4,243,35,1410947,0,4d4347500083871500080d1b6b2b04009d002c0023f30420eb67f3ff9bcb23005a0d6ff0214787c3a0400103b22bab07a9f6ef0170e90000970300005a0e0d05001903e107a4,0,5,13,1,107,43,919,0,59760,0,12.1176470588,4.0023529399,255,155,77,67,71,80,,160,2017-03-25T00:05:31.237Z,2017-03-25T00:05:31.237Z,18.6231293708,73.7158690981,164,,2017,9163,3,25,44,3,4,2017-03-25,64,1,3336
0,1,0,28,157,235,32,4,243,35,1410947,0,4d4347500083871500080d1c6b2b04009d002c0023f30420eb69f3ff9bcb23005a0d6ff0214787c3a0400103b22bab07a9f6ef0170e90000970300005a0e1905001903e107b3,0,5,25,1,107,43,919,0,59760,0,12.3529411765,4.0023529399,255,155,77,67,71,80,,160,2017-03-25T00:05:31.238Z,2017-03-25T00:05:31.238Z,18.6231293708,73.7158690981,179,,2017,9163,3,25,44,3,4,2017-03-25,64,1,3336
0,1,0,29,157,235,32,4,243,35,1410947,0,4d4347500083871500080d1d6b2b04009d002c0023f30420eb6df3ff9bcb23005a0d6ff0214787c3a0400103b22bab07a9f6ef0170e90000970300005a0e2505001903e107c4,0,5,37,1,107,43,919,0,59760,0,12.8235294118,4.0023529399,255,155,77,67,71,80,,160,2017-03-25T00:05:38.693Z,2017-03-25T00:05:38.693Z,18.6231293708,73.7158690981,196,,2017,9163,3,25,44,3,4,2017-03-25,64,1,3336
0,1,0,30,157,235,32,4,243,35,1410947,0,4d4347500083871500080d1e6b2b04009d002c0023f30420eb72f3ff9bcb23005a0d6ff0214787c3a0440303b22bab07a9f6ef0170e90000970300005a0e3105001903e107dc,0,5,49,1,107,43,919,0,59760,0,13.4117647059,4.0023529399,255,155,77,67,71,80,,160,2017-03-25T00:05:51.522Z,2017-03-25T00:05:51.522Z,18.6231293708,73.7158690981,220,,2017,9163,3,25,44,3,4,2017-03-25,68,3,3336
0,1,0,31,157,235,32,4,243,35,1410947,0,4d4347500083871500080d1f6b2b04009d00cc0023f30420eb73f3ff9bcb23005a0d6ff0214705c8a00402086a27ab077701f00110d10000f500000074153405001903e1075a,0,5,52,1,107,43,245,1,53520,0,13.5294117647,4.0023529399,255,155,77,67,71,80,,160,2017-03-25T00:05:52.000Z,2017-03-25T00:05:52.582Z,18.6247141734,73.7152411359,90,,2017,9163,3,25,204,8,4,2017-03-25,4,2,3336
0,1,0,32,157,235,32,4,243,35,1410947,0,4d4347500083871500080d206b2b04009d00cc0023f30420eb73f3ff9bcc23005a0d6ff0214705c8a0040208de26ab072001f001c1ce00007a0100009a143505001903e107d2,0,5,53,1,107,43,378,1,52929,0,13.5294117647,4.0023529399,255,155,77,67,71,80,,160,2017-03-25T00:05:53.000Z,2017-03-25T00:05:53.543Z,18.624664326,73.7151609217,210,,2017,9164,3,25,204,8,4,2017-03-25,4,2,3336
0,1,0,33,157,235,32,4,243,35,1410947,0,4d4347500083871500080d216b2b04009d00cc0023f30420eb74f3ff9bcc23005a0d6ff0214705c8a00402084f26ab070001f001a0cd0000d201000041133605001903e10702,0,5,54,1,107,43,466,1,52640,0,13.6470588235,4.0023529399,255,155,77,67,71,80,,160,2017-03-25T00:05:54.000Z,2017-03-25T00:05:54.700Z,18.6246459914,73.7150789887,2,,2017,9164,3,25,204,8,4,2017-03-25,4,2,3336
0,1,0,34,157,235,32,4,243,35,1410947,0,4d4347500083871500080d226b2b04009d00cc0023f30420eb75f3ff9bcc23005a0d6ff0214705c8a0040208d824ab076f00f001a8cf00002202000079123a05001903e1078f,0,5,58,1,107,43,546,1,53160,0,13.7647058823,4.0023529399,255,155,77,67,71,80,,160,2017-03-25T00:05:58.000Z,2017-03-25T00:05:58.882Z,18.6245629124,73.7148641293,143,,2017,9164,3,25,204,8,4,2017-03-25,4,2,3336
0,1,0,35,157,235,32,4,243,35,1410947,0,4d4347500083871500080d236b2b04009d00cc0023f30420eb75f3ff9bcc23005a0d6ff0214706c8a00402083824ab0774ffef01bbcf00009f02000017110006001903e107e8,0,6,0,1,107,43,671,1,53179,0,13.7647058823,4.0023529399,255,155,77,67,71,80,,160,2017-03-25T00:06:00.000Z,2017-03-25T00:06:00.582Z,18.6244190999,73.714772456,232,,2017,9164,3,25,204,8,4,2017-03-25,4,2,3336
