unit_id,timestamp,latitude,longitude,dist_diff,distance_by_interval,flag,rank,cluster_number,alert_info
1411607,2017-03-25T01:31:00.000Z,18.51750565796301,73.87107432860431,,0.0,,1,0,"[]"
1410591,2017-03-25T01:33:00.000Z,18.46305743270128,73.82013604576026,,0.0004202838474489822,,1,0,"[]"
1410591,2017-03-25T01:35:00.000Z,18.46305743270128,73.82013948350995,,0.0007804790183104587,,1,0,"[]"
1410947,2017-03-25T01:38:00.000Z,18.46301274195551,73.82010453305492,nan.0,0.004539231912991378,nan.0,1,1,"[]"
1410591,2017-03-25T01:38:00.000Z,18.46305055720193,73.82013776463511,0.002972456930319782,0.001566774982671596,0.0,2,1,"[]"
1410765,2017-03-25T01:38:00.000Z,18.46300070983165,73.82015781817488,0.001566774982671596,0.0,0.0,3,1,"[]"
1410765,2017-03-25T01:39:00.000Z,18.45732441216072,73.8255957652017,nan.0,0.8528490246964068,nan.0,1,1,"[]"
1410947,2017-03-25T01:39:00.000Z,18.45902266049994,73.82447448584954,0.2085535506764904,0.6442954740199164,0.0,2,1,"[]"
1410591,2017-03-25T01:39:00.000Z,18.46032098396035,73.82330278616878,0.1915541499446531,0.4527413240752632,0.0,3,1,"[]"
1410765,2017-03-25T01:40:00.000Z,18.44926059734084,73.8330808921597,nan.0,2.047554323252167,nan.0,1,1,"[]"
1410947,2017-03-25T01:40:00.000Z,18.45084769177391,73.83094089298731,0.2668144019587602,1.780739921293407,0.0,2,1,"[]"
1410591,2017-03-25T01:40:00.000Z,18.45336928116017,73.82867255116039,0.3697170329099744,1.411022888383432,0.0,3,1,"[]"
1410765,2017-03-25T01:41:00.000Z,18.44134231392384,73.83921097278767,nan.0,3.139957395574621,nan.0,1,1,"[]"
1410947,2017-03-25T01:41:00.000Z,18.44263089709351,73.83813782193094,0.1713270884871188,2.968630307087502,0.0,2,1,"[]"
1410591,2017-03-25T01:41:00.000Z,18.44697220197416,73.83495790348199,0.5852307613568408,2.383399545730661,0.0,3,1,"[]"
1410671,2017-03-25T01:41:00.000Z,18.55580906483659,73.71650909252958,2.383399545730661,0.0,0.0,4,1,"[]"
1410765,2017-03-25T01:42:00.000Z,18.43154415439316,73.83955933142136,nan.0,4.230082575023912,nan.0,1,1,"[]"
1410947,2017-03-25T01:42:00.000Z,18.43173552245837,73.83921097278767,0.044664475821933,4.185418099201979,0.0,2,1,"[]"
1410591,2017-03-25T01:42:00.000Z,18.44051095146089,73.83966418278642,0.9287321074102151,3.256685991791764,0.0,3,1,"[]"
1410670,2017-03-25T01:42:00.000Z,18.60648607870537,73.76049108890722,3.256685991791764,0.0,0.0,4,1,"[]"
1410765,2017-03-25T01:43:00.000Z,18.42424065520962,73.8440925773255,nan.0,5.172540132777965,nan.0,1,1,"[]"
1410947,2017-03-25T01:43:00.000Z,18.42521583020063,73.84341591359788,0.1372191256160047,5.035321007161961,0.0,2,1,"[]"
1410591,2017-03-25T01:43:00.000Z,18.43188219977782,73.83901788584761,0.816742469132997,4.218578538028964,0.0,3,1,"[]"
1410765,2017-03-25T01:44:00.000Z,18.41597573203378,73.84755095349809,nan.0,6.161332181553931,nan.0,1,1,"[]"
1410947,2017-03-25T01:44:00.000Z,18.41595739736885,73.8475091275437,0.009622651549288541,6.151709530004642,0.0,2,1,"[]"
1410591,2017-03-25T01:44:00.000Z,18.42510410333621,73.84347435534235,1.044837025777907,5.106872504226735,0.0,3,1,"[]"
1410947,2017-03-25T01:45:00.000Z,18.40648582405725,73.84753261883314,nan.0,7.204903347567412,nan.0,1,1,"[]"
1410765,2017-03-25T01:45:00.000Z,18.40748391737942,73.84742948634292,0.09923749781150271,7.105665849755909,0.0,2,1,"[]"
1410591,2017-03-25T01:45:00.000Z,18.41897058495858,73.84702268596475,1.220799586180163,5.884866263575747,0.0,3,1,"[]"
1410765,2017-03-25T01:46:00.000Z,18.40615580008849,73.84759621720212,nan.0,7.254389759439677,nan.0,1,1,"[ ""unit_id 1410656 is left behind of your cluster 1"" ]"
1410591,2017-03-25T01:46:00.000Z,18.40996597264443,73.84729770593871,0.3678359773549715,6.886553782084706,0.0,3,1,"[ ""unit_id 1410656 is left behind of your cluster 1"" ]"
1410656,2017-03-25T01:46:00.000Z,18.49738737390939,73.85005592709425,6.886553782084706,0.0,1.0,4,"outlier","[ ""You are outside the cluster"" ]"
1410947,2017-03-25T01:47:00.000Z,18.38658239935829,73.85624788721634,nan.0,9.601501390377429,nan.0,1,1,"[ ""unit_id 1412129 is left behind of your cluster 1"" ]"
1410765,2017-03-25T01:47:00.000Z,18.38976403668206,73.85678131137418,0.2827997027302054,9.318701687647224,0.0,2,1,"[ ""unit_id 1412129 is left behind of your cluster 1"" ]"
1410591,2017-03-25T01:47:00.000Z,18.40796921304181,73.84741458942766,2.209776182523862,7.108925505123361,0.0,3,1,"[ ""unit_id 1412129 is left behind of your cluster 1"" ]"
1412129,2017-03-25T01:47:00.000Z,18.49803768155616,73.84993445993908,7.108925505123361,0.0,1.0,4,"outlier","[ ""You are outside the cluster"" ]"
1410947,2017-03-25T01:48:00.000Z,18.37327257853507,73.85551278174428,nan.0,11.0835173813556,nan.0,1,1,"[]"
1410765,2017-03-25T01:48:00.000Z,18.37842404642236,73.85535120750959,0.4948686417322623,10.58864873962334,0.0,2,1,"[]"
1410591,2017-03-25T01:48:00.000Z,18.39334731775948,73.85438577280931,1.695209500475592,8.893439239147748,0.0,3,1,"[]"
1410947,2017-03-25T01:49:00.000Z,18.36500249873471,73.85384088948589,nan.0,12.01988063721745,nan.0,1,1,"[]"
1410765,2017-03-25T01:49:00.000Z,18.36717916723697,73.85387412106608,0.1711802740801041,11.84870036313735,0.0,2,1,"[]"
